player,name,avatar,rank,title,country,rating,games_played_recent,wins_recent,draws_recent,losses_recent,games_played_total,wins_total,draws_total,losses_total,avg_score,country_code,flag_url
Zhuu96,Zhamsaran Tsydypov,https://images.chesscomfiles.com/uploads/v1/user/20056540.20f6baba.200x200o.d2889e030340.jpeg,77,GM,Russia,3076,130,58,19,53,3881,2155,433,1293,0.5192307692307693,russia,https://flagcdn.com/h20/russia.png
Zlatan56,Laurent Fressinet,https://images.chesscomfiles.com/uploads/v1/user/21243480.48cc78a5.200x200o.7dd10e02e42b.jpeg,150,GM,France,3012,165,61,30,74,1752,880,282,590,0.4606060606060606,france,https://flagcdn.com/h20/france.png
adotand,Pranav Anand,https://images.chesscomfiles.com/uploads/v1/user/16364482.1959660f.200x200o.b14ed74b00e1.jpg,78,GM,India,3076,317,157,25,135,9849,4669,839,4341,0.5347003154574133,india,https://flagcdn.com/h20/india.png
amintabatabaei,Amin Tabatabaei,https://images.chesscomfiles.com/uploads/v1/user/30494226.99d3ab53.200x200o.59863e92ff4b.jpg,113,GM,Iran,3036,122,55,16,51,12299,5666,1396,5237,0.5163934426229508,iran,https://flagcdn.com/h20/iran.png
artin10862,Artin Ashraf,https://images.chesscomfiles.com/uploads/v1/user/57142804.9f5d4a92.200x200o.4a3156e37f5c.jpg,41,FM,Türkiye,3129,686,307,58,321,9329,4382,624,4323,0.4897959183673469,türkiye,https://flagcdn.com/h20/türkiye.png
artooon,Pranesh M,https://images.chesscomfiles.com/uploads/v1/user/55724226.0ba82cd8.200x200o.daac4ae34c55.jpeg,27,GM,International,3144,117,53,11,53,5028,2239,532,2257,0.5,international,https://flagcdn.com/h20/international.png
bancsoo,Tamas Banusz,https://images.chesscomfiles.com/uploads/v1/user/15590494.f6b4e8a7.200x200o.5414e61809d4.png,58,GM,Hungary,3101,1810,838,214,758,12005,6785,1270,3950,0.5220994475138122,hungary,https://flagcdn.com/h20/hungary.png
bardiya_Daneshvar,Bardiya Daneshvar,https://images.chesscomfiles.com/uploads/v1/user/66657052.30805cd9.200x200o.29171d4bd76f.jpg,146,GM,Iran,3013,39,19,6,14,1132,651,134,347,0.5641025641025641,iran,https://flagcdn.com/h20/iran.png
beautifulbird07,Yannay Ben Ari,https://images.chesscomfiles.com/uploads/v1/user/81079104.bc8ed093.200x200o.7e94e39269d3.jpg,111,IM,Israel,3036,644,306,71,267,1180,585,102,493,0.53027950310559,israel,https://flagcdn.com/h20/israel.png
chenxiaoyuer,Ryo Chen,,166,IM,United States,3004,572,260,67,245,4703,2484,621,1598,0.5131118881118881,united states,https://flagcdn.com/h20/united states.png
chess_master_8820,Radin Yadegar,,218,FM,Iran,2981,110,55,8,47,904,498,71,335,0.5363636363636364,iran,https://flagcdn.com/h20/iran.png
chesterreyes,Chester Neil Reyes,https://images.chesscomfiles.com/uploads/v1/user/37142912.d24075ac.200x200o.f0415dc4ccbd.jpg,229,,Philippines,2976,2,1,0,1,1695,963,123,609,0.5,philippines,https://flagcdn.com/h20/philippines.png
chito89,Axel Bachmann,https://images.chesscomfiles.com/uploads/v1/user/18742574.d1c47e85.200x200o.45f95cee6e2e.jpg,231,GM,Paraguay,2976,154,79,10,65,9164,4931,825,3408,0.5454545454545454,paraguay,https://flagcdn.com/h20/paraguay.png
demon64fields,Oleg Vastrukhin,https://images.chesscomfiles.com/uploads/v1/user/237498001.55d3f287.200x200o.36e477d380e4.jpg,239,IM,Russia,2968,1040,504,115,421,3076,1347,363,1366,0.5399038461538461,russia,https://flagcdn.com/h20/russia.png
dropstoneDP,David Paravyan,https://images.chesscomfiles.com/uploads/v1/user/69192934.19df0418.200x200o.5839b2717eb5.jpeg,96,GM,Russia,3047,274,128,45,101,17889,9303,3466,5120,0.5492700729927007,russia,https://flagcdn.com/h20/russia.png
eljanov,Pavel Eljanov,https://images.chesscomfiles.com/uploads/v1/user/17411344.835ac3fe.200x200o.5e4acd7111ce.jpeg,245,GM,Ukraine,2965,67,39,7,21,13516,5867,1970,5679,0.6343283582089553,ukraine,https://flagcdn.com/h20/ukraine.png
fireheart92,Adhiban Baskaran,https://images.chesscomfiles.com/uploads/v1/user/15668874.bc5e15ab.200x200o.f23515424048.jpeg,170,GM,India,3004,61,29,5,27,2074,939,288,847,0.5163934426229508,india,https://flagcdn.com/h20/india.png
frederiksvane,Frederik Svane,https://images.chesscomfiles.com/uploads/v1/user/38711494.0fd33505.200x200o.dcc5853b4313.jpeg,112,GM,Germany,3036,384,159,47,178,11496,6578,1289,3629,0.4752604166666667,germany,https://flagcdn.com/h20/germany.png
g3god,Sasikiran Krishnan,,205,GM,India,2992,429,199,52,178,6287,2811,818,2658,0.5244755244755245,india,https://flagcdn.com/h20/india.png
gmmoranda,Wojciech Moranda,https://images.chesscomfiles.com/uploads/v1/user/36026466.147175db.200x200o.ef91ce836754.jpeg,168,GM,Poland,3004,2,1,0,1,1329,723,158,448,0.5,poland,https://flagcdn.com/h20/poland.png
