player,name,avatar,rank,title,country,rating,games_played_recent,wins_recent,draws_recent,losses_recent,games_played_total,wins_total,draws_total,losses_total,avg_score,country_code,flag_url
Antipov_Mikhail_Al,Mikhail Antipov,https://images.chesscomfiles.com/uploads/v1/user/28435214.6de7dd6c.200x200o.7687f7b89e34.jpeg,158,GM,United States,3008,63,29,6,28,5392,3133,453,1806,0.5079365079365079,united states,https://flagcdn.com/h20/united states.png
Anton_Demchenko,Anton Demchenko,https://images.chesscomfiles.com/uploads/v1/user/17050352.e2fb0eda.200x200o.fda52c12016b.jpeg,202,GM,Slovenia,2994,421,192,56,173,15035,7720,1719,5596,0.5225653206650831,slovenia,https://flagcdn.com/h20/slovenia.png
Arfan48,Aditya Bagus Arfan,https://images.chesscomfiles.com/uploads/v1/user/78986426.d3df4f98.200x200o.f94a5526c3c2.jpeg,180,IM,Indonesia,3001,262,113,28,121,819,466,88,265,0.4847328244274809,indonesia,https://flagcdn.com/h20/indonesia.png
Arseniy_Nesterov,Arseniy Nesterov,https://images.chesscomfiles.com/uploads/v1/user/34432694.149253ed.200x200o.1340aee2dba2.jpeg,22,GM,Russia,3148,99,40,16,43,6904,3622,853,2429,0.4848484848484848,russia,https://flagcdn.com/h20/russia.png
AryanTari,Aryan Tari,https://images.chesscomfiles.com/uploads/v1/user/7684272.0118d03b.200x200o.e67cf149de86.jpg,120,GM,Norway,3032,153,76,13,64,8844,5049,859,2936,0.5392156862745098,norway,https://flagcdn.com/h20/norway.png
AsadliVugar,Vugar Asadli,https://images.chesscomfiles.com/uploads/v1/user/58142156.2118e56e.200x200o.7b5bf9121670.jpg,210,GM,Azerbaijan,2990,5,3,0,2,6761,3659,719,2383,0.6,azerbaijan,https://flagcdn.com/h20/azerbaijan.png
Azerichess,Shakhriyar Mamedyarov,https://images.chesscomfiles.com/uploads/v1/user/47865732.2ed84ac2.200x200o.8d99198ff5dd.jpeg,61,GM,Azerbaijan,3094,8,5,2,1,1755,954,258,543,0.75,azerbaijan,https://flagcdn.com/h20/azerbaijan.png
Baag4Life,Tugstumur Yesuntumur,https://images.chesscomfiles.com/uploads/v1/user/415657451.90bab5c2.200x200o.3d1fd5eded99.jpg,228,FM,Mongolia,2976,1211,553,138,520,2228,1038,267,923,0.5136251032204789,mongolia,https://flagcdn.com/h20/mongolia.png
Baku_Boulevard,Rauf Mamedov,https://images.chesscomfiles.com/uploads/v1/user/137706882.0ca988e2.200x200o.e0649ae91b4c.jpeg,20,GM,Ukraine,3155,71,30,12,29,2022,1131,308,583,0.5070422535211268,ukraine,https://flagcdn.com/h20/ukraine.png
BardArtem,Artem Bardyk,,236,FM,International,2972,1288,620,135,533,7324,3706,763,2855,0.5337732919254659,international,https://flagcdn.com/h20/international.png
Bauman_Guy,Konstantin Popov,https://images.chesscomfiles.com/uploads/v1/user/294649525.ae81899d.200x200o.2c6b63fb915c.webp,138,IM,International,3018,117,56,18,43,2800,1393,355,1052,0.5555555555555556,international,https://flagcdn.com/h20/international.png
Beca95,Aleksandar Indjic,https://images.chesscomfiles.com/uploads/v1/user/17624806.097e54f8.200x200o.b87e774bef37.jpeg,107,GM,Serbia,3038,291,132,31,128,8797,4974,979,2844,0.506872852233677,serbia,https://flagcdn.com/h20/serbia.png
Bigfish1995,Vladimir Fedoseev,https://images.chesscomfiles.com/uploads/v1/user/26303484.dc192fa5.200x200o.d771643b19ed.jpeg,26,GM,Slovenia,3145,102,53,12,37,13213,6983,1489,4741,0.5784313725490197,slovenia,https://flagcdn.com/h20/slovenia.png
BlueWizzard,Denes Boros,https://images.chesscomfiles.com/uploads/v1/user/28208046.cde294a6.200x200o.60d6a5143f18.jpeg,216,GM,United States,2985,48,26,2,20,10215,6455,710,3050,0.5625,united states,https://flagcdn.com/h20/united states.png
BogdanDeac,Bogdan Daniel Deac,,99,GM,Romania,3045,333,140,61,132,14435,7812,2309,4314,0.512012012012012,romania,https://flagcdn.com/h20/romania.png
Brewington_Hardaway,Brewington Hardaway,https://images.chesscomfiles.com/uploads/v1/user/442163159.f5cc0fc6.200x200o.8822503a743b.jpg,55,GM,United States,3102,123,49,17,57,910,555,97,258,0.4674796747967479,united states,https://flagcdn.com/h20/united states.png
Cayse,Martyn Kravtsiv,,137,GM,Ukraine,3019,150,71,12,67,2757,1657,249,851,0.5133333333333333,ukraine,https://flagcdn.com/h20/ukraine.png
Chef_Zohid,Mukhammadzokhid Suyarov,https://images.chesscomfiles.com/uploads/v1/user/211100997.5df48afb.200x200o.187fe06e8227.jpg,48,IM,Uzbekistan,3116,171,82,15,74,2879,1387,311,1181,0.5233918128654971,uzbekistan,https://flagcdn.com/h20/uzbekistan.png
Chefshouse,Ding Liren,https://images.chesscomfiles.com/uploads/v1/user/55459850.9ab17dd9.200x200o.dd5bf1548fea.png,44,GM,China,3120,2,1,0,1,517,263,73,181,0.5,china,https://flagcdn.com/h20/china.png
ChessBrah,Chessbrah TV,https://images.chesscomfiles.com/uploads/v1/user/2555939.974bf39b.200x200o.b79b105ffb0e.png,117,GM,Canada,3034,213,101,16,96,15880,12297,630,2953,0.5117370892018779,canada,https://flagcdn.com/h20/canada.png
ChessFighter_2011,Dau Khuong Duy,https://images.chesscomfiles.com/uploads/v1/user/44760408.7e2bb432.200x200o.32acd45c00e9.jpg,90,IM,Vietnam,3051,25,13,0,12,4361,2205,406,1750,0.52,vietnam,https://flagcdn.com/h20/vietnam.png
ChessLover0108,Mahammad Muradli,https://images.chesscomfiles.com/uploads/v1/user/63541650.89a498c1.200x200o.d3849ba0727a.jpeg,63,GM,Azerbaijan,3090,22,9,3,10,3940,2261,283,1396,0.4772727272727273,azerbaijan,https://flagcdn.com/h20/azerbaijan.png
ChessMaster2011_1,Jake Shanty,,73,FM,India,3079,1411,654,164,593,1893,788,226,879,0.5216158752657689,india,https://flagcdn.com/h20/india.png
ChessSharkz,Kayden Troff,https://images.chesscomfiles.com/uploads/v1/user/286274185.b5bb91c4.200x200o.41ca5ec46c40.png,143,GM,United States,3015,373,186,11,176,6173,4542,308,1323,0.5134048257372654,united states,https://flagcdn.com/h20/united states.png
ChessWarrior7197,Nodirbek Abdusattorov,https://images.chesscomfiles.com/uploads/v1/user/12709942.6e2e1d11.200x200o.ac217f38d8b4.png,32,GM,Uzbekistan,3140,14,5,0,9,3953,2110,508,1335,0.3571428571428571,uzbekistan,https://flagcdn.com/h20/uzbekistan.png
Chopper1905,Mustafa Yilmaz,https://images.chesscomfiles.com/uploads/v1/user/17393968.52f21455.200x200o.54cc1183e12c.jpeg,141,GM,Türkiye,3016,128,69,14,45,7787,4769,591,2427,0.59375,türkiye,https://flagcdn.com/h20/türkiye.png
ChristopherYoo,Christopher Woojin Yoo,,52,GM,Tuvalu,3106,140,65,16,59,14534,8901,1740,3893,0.5214285714285715,tuvalu,https://flagcdn.com/h20/tuvalu.png
DanielDardha2005,Daniel Dardha,https://images.chesscomfiles.com/uploads/v1/user/59659234.bd86d72b.200x200o.e4668604f956.jpg,95,GM,Belgium,3048,16,8,3,5,4049,2045,566,1438,0.59375,belgium,https://flagcdn.com/h20/belgium.png
DanielNaroditsky,Daniel Naroditsky,https://images.chesscomfiles.com/uploads/v1/user/1715324.840b7522.200x200o.b79dde86ff74.jpg,82,GM,United States,3066,2819,1328,280,1211,68469,39824,7793,20852,0.5207520397304009,united states,https://flagcdn.com/h20/united states.png
DavidGavrilescu18,David Gavrilescu,,175,GM,Romania,3003,27,13,2,12,345,225,25,95,0.5185185185185185,romania,https://flagcdn.com/h20/romania.png
DenLaz,Denis Lazavik,https://images.chesscomfiles.com/uploads/v1/user/34145346.088fe903.200x200o.497edc350e6a.webp,7,GM,Belarus,3225,74,30,12,32,4593,2761,718,1114,0.4864864864864865,belarus,https://flagcdn.com/h20/belarus.png
Denis_Makhnyov,Denis Makhnev,https://images.chesscomfiles.com/uploads/v1/user/35293662.6fd5cae9.200x200o.4784b2e11dd7.jpeg,104,GM,Kazakhstan,3041,21,11,4,6,5081,2584,498,1999,0.6190476190476191,kazakhstan,https://flagcdn.com/h20/kazakhstan.png
DevikBronstein,Karthik Venkataraman,https://images.chesscomfiles.com/uploads/v1/user/14216420.de7041aa.200x200o.97a6c6334a84.jpeg,114,GM,India,3035,124,55,21,48,2996,1456,338,1202,0.5282258064516129,india,https://flagcdn.com/h20/india.png
Dolphin_2010,Aleksandr Usov,,223,FM,Russia,2978,167,79,19,69,923,567,61,295,0.5299401197604791,russia,https://flagcdn.com/h20/russia.png
DominguezOnYoutube,Leinier Dominguez Perez,https://images.chesscomfiles.com/uploads/v1/user/19314948.b56efd36.200x200o.235173174298.jpeg,88,GM,United States,3057,40,18,6,16,2867,1580,446,841,0.525,united states,https://flagcdn.com/h20/united states.png
DonkyDonkyDonkey,Eray Kilic,https://images.chesscomfiles.com/uploads/v1/user/91017348.428335c2.200x200o.934bc5454feb.png,131,IM,Türkiye,3023,11,5,1,5,3414,1797,318,1299,0.5,türkiye,https://flagcdn.com/h20/türkiye.png
DrVelja,Velimir Ivic,https://images.chesscomfiles.com/uploads/v1/user/30508854.1c0e1c62.200x200o.e201b6d73ebf.jpeg,201,GM,Serbia,2994,61,31,1,29,5206,2833,461,1912,0.5163934426229508,serbia,https://flagcdn.com/h20/serbia.png
Dr_Tyger,Haowen Xue,https://images.chesscomfiles.com/uploads/v1/user/32846088.4675dbe3.200x200o.da049ec03532.jpg,157,GM,China,3009,577,245,86,246,7939,4373,766,2800,0.4991334488734835,china,https://flagcdn.com/h20/china.png
DrawDenied-Twitch,,https://images.chesscomfiles.com/uploads/v1/user/48088354.18edd5f0.200x200o.6085620f4439.png,167,GM,Germany,3004,1,0,0,1,12420,6852,1011,4557,0.0,germany,https://flagcdn.com/h20/germany.png
Duhless,Daniil Dubov,https://images.chesscomfiles.com/uploads/v1/user/10174260.4865a6da.200x200o.6932fffcda21.png,102,GM,Russia,3043,479,236,49,194,11847,6956,1549,3342,0.5438413361169102,russia,https://flagcdn.com/h20/russia.png
Durarbayli,Vasif Durarbayli,https://images.chesscomfiles.com/uploads/v1/user/22451396.6b34ada1.200x200o.a84dad18ca35.jpg,217,GM,Azerbaijan,2982,243,122,26,95,7656,4135,755,2766,0.5555555555555556,azerbaijan,https://flagcdn.com/h20/azerbaijan.png
Ehsan_GhaemMaghami,Ehsan GhaemMaghami (IRI),https://images.chesscomfiles.com/uploads/v1/user/30385404.c3ca4899.200x200o.119d9ec8aa96.jpeg,134,GM,Iran,3023,2,1,1,0,9119,4300,1180,3639,0.75,iran,https://flagcdn.com/h20/iran.png
Elsa167,Leon Livaic,https://images.chesscomfiles.com/uploads/v1/user/289512151.1567975a.200x200o.50bf6aadfb20.jpg,230,GM,Croatia,2976,711,344,91,276,4204,2116,500,1588,0.5478199718706048,croatia,https://flagcdn.com/h20/croatia.png
Erebuni_is_back,Erik R. Gasparyan,,243,IM,Armenia,2965,183,84,14,85,1015,579,114,322,0.4972677595628415,armenia,https://flagcdn.com/h20/armenia.png
FGHSMN,Bharath Subramaniyam.H Harishankkar,https://images.chesscomfiles.com/uploads/v1/user/15872054.44079fd0.200x200o.aa11a0d8662b.jpeg,211,GM,India,2990,159,64,18,77,10800,5851,843,4106,0.4591194968553459,india,https://flagcdn.com/h20/india.png
FabianoCaruana,Fabiano Caruana,https://images.chesscomfiles.com/uploads/v1/user/11177810.9dfc8d31.200x200o.9a9eccebc07c.png,38,GM,United States,3131,89,39,9,41,3907,2672,470,765,0.4887640449438202,united states,https://flagcdn.com/h20/united states.png
FairChess_on_YouTube,Dmitry Andreikin,https://images.chesscomfiles.com/uploads/v1/user/14498226.8202a36e.200x200o.1fe2de7e5eaa.jpeg,10,GM,Georgia,3198,556,257,81,218,7756,4886,1259,1611,0.5350719424460432,georgia,https://flagcdn.com/h20/georgia.png
Fandorine,Maksim Chigaev,https://images.chesscomfiles.com/uploads/v1/user/21261072.f754bfbe.200x200o.fba6423ad54f.jpg,75,GM,Spain,3077,54,17,13,24,5589,3334,719,1536,0.4351851851851852,spain,https://flagcdn.com/h20/spain.png
FaustinoOro,Faustino Oro,https://images.chesscomfiles.com/uploads/v1/user/80994690.b4cf9a71.200x200o.14ae099ead7c.jpg,42,IM,Argentina,3127,374,186,33,155,13067,6768,1032,5267,0.5414438502673797,argentina,https://flagcdn.com/h20/argentina.png
Firouzja2003,Alireza Firouzja,https://images.chesscomfiles.com/uploads/v1/user/42022994.2c7a0722.200x200o.3088f5180d8d.jpg,3,GM,France,3268,128,65,11,52,14303,7959,1776,4568,0.55078125,france,https://flagcdn.com/h20/france.png
FormerProdigy,David Navara,https://images.chesscomfiles.com/uploads/v1/user/52897514.99552f3c.200x200o.cb4cdc4e580b.jpg,185,GM,Czech Republic,3000,71,32,18,21,1591,957,221,413,0.5774647887323944,czech republic,https://flagcdn.com/h20/czech republic.png
GHANDEEVAM2003,Arjun Erigaisi,https://images.chesscomfiles.com/uploads/v1/user/20718020.b93b0dad.200x200o.ce63c2b5ea24.jpeg,15,GM,India,3170,90,36,14,40,8738,4754,1021,2963,0.4777777777777778,india,https://flagcdn.com/h20/india.png
GMAkobianSTL,Varuzhan Akobian,https://images.chesscomfiles.com/uploads/v1/user/32117466.51af4bc5.200x200o.d19b5815cbe5.jpeg,181,GM,United States,3001,282,140,36,106,2515,1349,308,858,0.5602836879432624,united states,https://flagcdn.com/h20/united states.png
GMBenjaminBok,Benjamin Bok,https://images.chesscomfiles.com/uploads/v1/user/3958391.1ca1273c.200x200o.b3509401e9cf.jpeg,91,GM,Netherlands,3051,364,162,50,152,14263,10314,1480,2469,0.5137362637362637,netherlands,https://flagcdn.com/h20/netherlands.png
GM_dmitrij,Dmitrij Kollars,https://images.chesscomfiles.com/uploads/v1/user/27181148.59e377d4.200x200o.e1501882ef88.jpeg,47,GM,Germany,3117,693,342,60,291,38031,21502,3776,12753,0.5367965367965368,germany,https://flagcdn.com/h20/germany.png
GMharikrishna,Harikrishna Pentala,https://images.chesscomfiles.com/uploads/v1/user/5255781.53d5e5b5.200x200o.d1a485c606d3.jpeg,121,GM,India,3031,6,1,1,4,1835,785,265,785,0.25,india,https://flagcdn.com/h20/india.png
GOGIEFF,Anton Korobov,https://images.chesscomfiles.com/uploads/v1/user/36736170.73910956.200x200o.bafa0b93568d.jpeg,124,GM,Ukraine,3029,9,5,1,3,1867,1178,196,493,0.6111111111111112,ukraine,https://flagcdn.com/h20/ukraine.png
GeorgMeier,Georg Meier,https://images.chesscomfiles.com/uploads/v1/user/10342812.4e808745.200x200o.61963b09412e.jpg,152,GM,Uruguay,3011,530,231,88,211,8579,4336,1397,2846,0.5188679245283019,uruguay,https://flagcdn.com/h20/uruguay.png
GigaQuparadze,Giga Quparadze,https://images.chesscomfiles.com/uploads/v1/user/44629086.18a299eb.200x200o.41e140ad6097.jpeg,81,GM,Georgia,3072,63,29,11,23,14884,7793,1906,5185,0.5476190476190477,georgia,https://flagcdn.com/h20/georgia.png
GogiaMetutune,Davit Benidze,https://images.chesscomfiles.com/uploads/v1/user/164493581.c2b7d177.200x200o.3a2280cfb6f0.jpg,136,GM,Georgia,3020,841,391,88,362,1811,1012,182,617,0.5172413793103449,georgia,https://flagcdn.com/h20/georgia.png
Gordima,Dmitry Gordievsky,https://images.chesscomfiles.com/uploads/v1/user/29689718.c4ff364a.200x200o.1208fa512a0c.jpg,140,GM,International,3016,11,2,0,9,3167,1677,322,1168,0.1818181818181818,international,https://flagcdn.com/h20/international.png
Grandelicious,Nils Grandelius,https://images.chesscomfiles.com/uploads/v1/user/32314690.9e2656c9.200x200o.66767f521b22.jpeg,57,GM,Sweden,3101,44,24,2,18,2182,1319,263,600,0.5681818181818182,sweden,https://flagcdn.com/h20/sweden.png
Grischuk,Alexander Grischuk,https://images.chesscomfiles.com/uploads/v1/user/26897358.10f64fa8.200x200o.634d3db4ddc2.jpeg,45,GM,Russia,3120,121,62,17,42,2891,1572,606,713,0.5826446280991735,russia,https://flagcdn.com/h20/russia.png
GroovyKettle,Robby Kevlishvili,https://images.chesscomfiles.com/uploads/v1/user/59926606.301c94a5.200x200o.fa9353df6338.jpg,115,GM,Netherlands,3034,167,72,23,72,6705,2891,940,2874,0.5,netherlands,https://flagcdn.com/h20/netherlands.png
GukeshDommaraju,Gukesh D,https://images.chesscomfiles.com/uploads/v1/user/40996222.a634fe54.200x200o.391c8e0a4b0b.jpeg,71,GM,India,3080,22,13,0,9,3684,1959,272,1453,0.5909090909090909,india,https://flagcdn.com/h20/india.png
HVillagra,Cristobal Henriquez,,169,GM,Chile,3004,56,20,7,29,6473,3221,677,2575,0.4196428571428571,chile,https://flagcdn.com/h20/chile.png
HansOnTwitch,Hans Niemann,,33,GM,United States,3138,94,47,6,41,4849,2696,583,1570,0.5319148936170213,united states,https://flagcdn.com/h20/united states.png
Harsha_Bharathakoti,Harsha Bharathakoti,https://images.chesscomfiles.com/uploads/v1/user/39248048.23d6faa1.200x200o.578a16bfec10.jpeg,87,GM,India,3059,185,89,29,67,4626,2618,506,1502,0.5594594594594594,india,https://flagcdn.com/h20/india.png
Hatsummei,Erdem Khubukshanov,,208,IM,Russia,2991,152,71,10,71,3628,1764,272,1592,0.5,russia,https://flagcdn.com/h20/russia.png
Hikaru,Hikaru Nakamura,https://images.chesscomfiles.com/uploads/v1/user/15448422.88c010c1.200x200o.3c5619f5441e.png,1,GM,United States,3395,1242,608,54,580,43183,33786,4106,5291,0.5112721417069244,united states,https://flagcdn.com/h20/united states.png
Igor_Janik,Igor Janik,,129,GM,Poland,3025,390,189,37,164,12440,6538,1355,4547,0.532051282051282,poland,https://flagcdn.com/h20/poland.png
Indianlad,S.L. Narayanan,https://images.chesscomfiles.com/uploads/v1/user/6412751.202b53d4.200x200o.22e08c6a1173.jpeg,51,GM,India,3111,29,14,1,14,13424,7035,1619,4770,0.5,india,https://flagcdn.com/h20/india.png
Jagadeesh_Siddharth,Jagadeesh Siddharth,,176,GM,Singapore,3002,86,41,8,37,1810,901,238,671,0.5232558139534884,singapore,https://flagcdn.com/h20/singapore.png
JaloliddinIlkhomi,Jaloliddin Ilkhomi,https://images.chesscomfiles.com/uploads/v1/user/55630278.01a16984.200x200o.fa8f9648aeba.jpg,177,FM,Tajikistan,3002,447,222,31,194,7362,2977,758,3627,0.5313199105145414,tajikistan,https://flagcdn.com/h20/tajikistan.png
Javokhir_Sindarov05,Javokhir Sindarov,https://images.chesscomfiles.com/uploads/v1/user/330779979.94d8134b.200x200o.1e0c8c8f4314.jpg,17,GM,Uzbekistan,3156,115,51,6,58,865,574,85,206,0.4695652173913043,uzbekistan,https://flagcdn.com/h20/uzbekistan.png
Jospem,Jose Martinez,https://images.chesscomfiles.com/uploads/v1/user/26867272.ae9f1c80.200x200o.8b42d2759267.jpg,69,GM,Mexico,3083,403,173,61,169,31916,20666,3452,7798,0.5049627791563276,mexico,https://flagcdn.com/h20/mexico.png
Jumbo,Rinat Jumabayev,https://images.chesscomfiles.com/uploads/v1/user/30836974.73be56b8.200x200o.40c4c523ae13.jpg,83,GM,Kazakhstan,3065,245,108,26,111,9306,4812,802,3692,0.4938775510204081,kazakhstan,https://flagcdn.com/h20/kazakhstan.png
KNVB,Aman Hambleton,https://images.chesscomfiles.com/uploads/v1/user/4381685.e8cd3231.200x200o.7059a854e000.png,133,GM,Canada,3023,23,16,0,7,27357,19064,1516,6777,0.6956521739130435,canada,https://flagcdn.com/h20/canada.png
Kacparov,Kacper Drozdowski,https://images.chesscomfiles.com/uploads/v1/user/1784023.7763d589.200x200o.5bc4233aef8a.jpeg,101,IM,Poland,3044,118,49,26,43,3284,1834,576,874,0.5254237288135594,poland,https://flagcdn.com/h20/poland.png
KazakhFighter04,Kazybek Nogerbek,https://images.chesscomfiles.com/uploads/v1/user/53185532.bb104efa.200x200o.f6ab82129db8.jpg,72,GM,Kazakhstan,3079,46,28,5,13,3710,2100,480,1130,0.6630434782608695,kazakhstan,https://flagcdn.com/h20/kazakhstan.png
Keranke,Vladimir Seliverstov,https://images.chesscomfiles.com/uploads/v1/user/3958177.42a547c6.200x200o.e3c1cfaaf4aa.jpeg,199,IM,Russia,2995,593,277,51,265,15927,7770,1305,6852,0.5101180438448567,russia,https://flagcdn.com/h20/russia.png
KhalilMousavi98,Khalil Mousavi,https://images.chesscomfiles.com/uploads/v1/user/67946542.d046ba14.200x200o.60aeda1b65d4.jpeg,183,GM,Iran,3000,211,96,12,103,727,404,60,263,0.4834123222748815,iran,https://flagcdn.com/h20/iran.png
KogotBobra17,Egor Koshulyan,https://images.chesscomfiles.com/uploads/v1/user/50323276.634ccbf5.200x200o.ae7d22e417cd.jpg,156,FM,Russia,3009,66,35,3,28,3522,1922,276,1324,0.553030303030303,russia,https://flagcdn.com/h20/russia.png
Konavets,Sam Sevian,https://images.chesscomfiles.com/uploads/v1/user/8829034.6d90a567.200x200o.60d12a06fdce.jpeg,60,GM,United States,3095,162,79,14,69,7842,4703,874,2265,0.5308641975308642,united states,https://flagcdn.com/h20/united states.png
Kopylov_Alex,Alexander Kopylov,,182,IM,Russia,3001,80,31,10,39,12026,6779,1133,4114,0.45,russia,https://flagcdn.com/h20/russia.png
Kosak12,Jakub Kosakowski,https://images.chesscomfiles.com/uploads/v1/user/17961558.975365b4.200x200o.e806b80204d3.jpg,224,GM,Poland,2978,138,66,11,61,3196,1936,262,998,0.5181159420289855,poland,https://flagcdn.com/h20/poland.png
LOVEVAE,Wei Yi,https://images.chesscomfiles.com/uploads/v1/user/27300798.d45796b6.200x200o.1368393c5c7f.jpeg,43,GM,China,3122,38,19,4,15,1262,741,172,349,0.5526315789473685,china,https://flagcdn.com/h20/china.png
LPSupi,Luis Paulo Supi,https://images.chesscomfiles.com/uploads/v1/user/11650164.da85056d.200x200o.67d7a22a745d.jpeg,46,GM,Brazil,3118,238,125,14,99,14105,7689,1486,4930,0.5546218487394958,brazil,https://flagcdn.com/h20/brazil.png
LastGladiator1,Aydin Suleymanli,https://images.chesscomfiles.com/uploads/v1/user/43302154.b1fadc2d.200x200o.0bf1bd78b310.jpg,106,GM,Azerbaijan,3039,18,9,2,7,3113,1620,230,1263,0.5555555555555556,azerbaijan,https://flagcdn.com/h20/azerbaijan.png
LevonAronian,Levon Aronian,https://images.chesscomfiles.com/uploads/v1/user/26897402.07482c01.200x200o.aafdac4f4570.jpeg,53,GM,United States,3104,74,34,4,36,676,389,120,167,0.4864864864864865,united states,https://flagcdn.com/h20/united states.png
LiamPutnam2008,Liam Putnam,https://images.chesscomfiles.com/uploads/v1/user/66246790.0974c6be.200x200o.ca4061734cbc.jpg,54,IM,United States,3103,255,125,31,99,8995,4489,844,3662,0.5509803921568628,united states,https://flagcdn.com/h20/united states.png
LiemLe,Liem Le,https://images.chesscomfiles.com/uploads/v1/user/13579258.d450eea1.200x200o.c0ae4730150d.jpeg,84,GM,Vietnam,3064,27,14,3,10,2313,1419,344,550,0.5740740740740741,vietnam,https://flagcdn.com/h20/vietnam.png
LionTheLeon_06,Leon Luke Mendonca,https://images.chesscomfiles.com/uploads/v1/user/17559352.96fc1734.200x200o.a26f91e53b90.jpg,145,GM,Antigua/Barbuda,3014,26,15,2,9,3377,1766,389,1222,0.6153846153846154,barbuda,https://flagcdn.com/h20/barbuda.png
Lunaticx,Peter Michalik,https://images.chesscomfiles.com/uploads/v1/user/35096384.b68d4c93.200x200o.3db4edcffbeb.jpg,119,GM,Czech Republic,3033,144,67,29,48,13845,6191,1921,5733,0.5659722222222222,czech republic,https://flagcdn.com/h20/czech republic.png
LyonBeast,Maxime Vachier-Lagrave,https://images.chesscomfiles.com/uploads/v1/user/17306408.203effc9.200x200o.34baf459f6b7.jpg,4,GM,France,3249,46,24,7,15,3345,2092,507,746,0.5978260869565217,france,https://flagcdn.com/h20/france.png
MITerryble,Renato Terry,,92,IM,Peru,3051,533,224,70,239,18411,13138,2269,3004,0.4859287054409005,peru,https://flagcdn.com/h20/peru.png
M_asp009,Miraziz Matyakubov,https://images.chesscomfiles.com/uploads/v1/user/416901451.247ba1f8.200x200o.13a15eb08950.webp,226,CM,Uzbekistan,2977,501,222,59,220,1956,806,192,958,0.501996007984032,uzbekistan,https://flagcdn.com/h20/uzbekistan.png
Macho_2006,Mukhiddin Madaminov,https://images.chesscomfiles.com/uploads/v1/user/63055550.a3d39a05.200x200o.d9a4d402fa29.png,66,GM,Uzbekistan,3086,145,71,15,59,4467,2288,383,1796,0.5413793103448276,uzbekistan,https://flagcdn.com/h20/uzbekistan.png
MagnusCarlsen,Magnus Carlsen,https://images.chesscomfiles.com/uploads/v1/user/3889224.121e2094.200x200o.361c2f8a59c2.jpg,2,GM,Norway,3367,233,101,20,112,5591,4040,684,867,0.4763948497854077,norway,https://flagcdn.com/h20/norway.png
ManuDavid2910,Manu David,https://images.chesscomfiles.com/uploads/v1/user/6083387.50d22472.200x200o.6c0775b62af6.jpg,225,FM,India,2977,817,402,103,312,15635,7147,1183,7305,0.555079559363525,india,https://flagcdn.com/h20/india.png
Marcan2b,Marc-Andria Maurizzi,https://images.chesscomfiles.com/uploads/v1/user/20834848.e3728b61.200x200o.faa44a7ae22a.jpeg,197,GM,France,2996,11,5,1,5,12222,6475,823,4924,0.5,france,https://flagcdn.com/h20/france.png
MarkusRagger,Markus Ragger,https://images.chesscomfiles.com/uploads/v1/user/13684120.9f252ef4.200x200o.8e068caf0623.png,163,GM,Austria,3006,354,164,45,145,3214,1746,410,1058,0.5268361581920904,austria,https://flagcdn.com/h20/austria.png
MatthewG-p4p,Matvey Galchenko,https://images.chesscomfiles.com/uploads/v1/user/29547290.6cd46317.200x200o.378fbf2272a7.jpg,241,IM,Russia,2966,251,122,20,109,6489,3771,533,2185,0.5258964143426295,russia,https://flagcdn.com/h20/russia.png
MichaelRoiz,Michael Roiz,https://images.chesscomfiles.com/uploads/v1/user/28435172.90ee49b6.200x200o.d2bd6666967f.jpeg,34,GM,Israel,3138,236,107,38,91,18404,10181,3216,5007,0.5338983050847458,israel,https://flagcdn.com/h20/israel.png
MightyGMpretender,Antoni Kozak,https://images.chesscomfiles.com/uploads/v1/user/70328076.40aed1c9.200x200o.515542376ca3.png,171,NM,Poland,3003,1040,487,116,437,13050,6982,1156,4912,0.5240384615384616,poland,https://flagcdn.com/h20/poland.png
Mighty_Gladius16,,,220,,India,2980,51,22,8,21,1754,869,232,653,0.5098039215686274,india,https://flagcdn.com/h20/india.png
Mikhail_Bryakin,Mikhail Bryakin,https://images.chesscomfiles.com/uploads/v1/user/78150210.73649a82.200x200o.a16b381e1a0d.jpeg,240,GM,Serbia,2967,168,68,15,85,8965,4628,1230,3107,0.4494047619047619,serbia,https://flagcdn.com/h20/serbia.png
MolecularChemist,Dimitar Mardov,https://images.chesscomfiles.com/uploads/v1/user/65721014.9727a9f5.200x200o.52d8ac558f2a.jpg,214,IM,United States,2988,172,78,25,69,6026,3164,740,2122,0.5261627906976745,united states,https://flagcdn.com/h20/united states.png
MomchilPetkov,Momchil Petkov,https://images.chesscomfiles.com/uploads/v1/user/43570518.c48374af.200x200o.bdf294ad210c.jpg,179,GM,Bulgaria,3002,366,165,51,150,13928,6085,1076,6767,0.5204918032786885,bulgaria,https://flagcdn.com/h20/bulgaria.png
MoonlessMay05,Semyon Lomasov,,209,GM,Israel,2991,39,15,6,18,3953,2046,403,1504,0.4615384615384615,israel,https://flagcdn.com/h20/israel.png
MrLion3000,Isaak Parpiev,https://images.chesscomfiles.com/uploads/v1/user/45950756.8ce44717.200x200o.e6cc8353c88c.jpg,149,CM,International,3012,452,216,56,180,3612,1763,349,1500,0.5398230088495575,international,https://flagcdn.com/h20/international.png
