rank,username,title,country,rating,games_played,wins,losses,draws
216,BlueWizzard,GM,United States,2985,10215,6455,3050,710
217,Durarbayli,GM,Azerbaijan,2982,7656,4135,2766,755
218,chess_master_8820,FM,Iran,2981,904,498,335,71
219,kuli4ik,GM,Russia,2980,6091,2778,2395,918
220,Mighty_Gladius16,,India,2980,1754,869,653,232
221,AlmasRakhmatullaev,IM,Uzbekistan,2979,2499,1257,1013,229
222,hakanazeri2,IM,Nauru,2979,9932,4447,4547,938
223,Dolphin_2010,FM,Russia,2978,923,567,295,61
224,Kosak12,GM,Poland,2978,3196,1936,998,262
225,ManuDavid2910,FM,India,2977,15635,7147,7305,1183
226,M_asp009,CM,Uzbekistan,2977,1956,806,958,192
227,vugarrasulov,GM,Azerbaijan,2977,11817,7428,3095,1294
228,Baag4Life,FM,Mongolia,2976,2228,1038,923,267
229,chesterreyes,,Philippines,2976,1695,963,609,123
230,Elsa167,GM,Croatia,2976,4204,2116,1588,500
231,chito89,GM,Paraguay,2976,9164,4931,3408,825
232,OhanyanEminChess,GM,Armenia,2975,8706,4219,3725,762
233,Sardaukar-2,IM,Ukraine,2975,1397,801,468,128
234,RobertoJBM,IM,Brazil,2975,20343,10130,7354,2859
235,Yaacovn,IM,United States,2973,51340,27998,18293,5049
236,BardArtem,FM,International,2972,7324,3706,2855,763
237,ilqar_74,FM,Azerbaijan,2972,4780,2579,1538,663
238,xamax2000,GM,Netherlands,2972,6908,3788,2344,776
239,demon64fields,IM,Russia,2968,3076,1347,1366,363
240,Mikhail_Bryakin,GM,Serbia,2967,8965,4628,3107,1230
241,MatthewG-p4p,IM,Russia,2966,6489,3771,2185,533
242,onyshchuk_v,GM,Ukraine,2966,1055,680,259,116
243,Erebuni_is_back,IM,Armenia,2965,1015,579,322,114
244,rasmussvane,GM,Germany,2965,8718,5471,2159,1088
245,eljanov,GM,Ukraine,2965,13516,5867,5679,1970
246,qsjtgx,IM,China,2962,8125,3812,3593,720
247,platy3,GM,Spain,2962,4245,2376,1337,532
248,SPEEDSKATER,GM,United States,2962,8107,4490,2670,947
249,AhmadzadaA,GM,Azerbaijan,2961,2055,979,781,295
250,SuperPower2011,IM,Romania,2961,803,418,331,54
